sector;province;2014-09;2015-09;2015-08;2014-10;2015-10;2014-11;2015-11;2014-12;2015-12;2015-01;2016-01;2015-02;2016-02;2015-03;2016-03;2015-04;2016-04;2015-05;2016-05;2015-06;2016-06;2015-07;2016-07;2016-09;2016-08;2016-10;2016-11;2016-12;2017-01;2017-02;2017-03;2017-04;2017-05;2017-06;2017-07;2017-08;2017-09;2017-10;2017-11;2017-12;2018-01;2018-02;2018-03;2018-04;2018-05;2018-06;2018-07;2018-08;2018-09;2018-10;2018-11;2019-01;2018-12;2019-02;2019-03;2019-04;2019-05;2019-06;2019-07;2019-08;2019-09;2019-10;2019-11;2019-12;2020-01;2020-02;2020-03;2020-04;2020-05;2020-07;2020-06;2020-08;2020-09;2020-10;2020-11;2020-12;2021-01;2021-02;2021-03;2021-04;2021-05;2021-06;2021-07;2021-08;2021-09;2021-10;2021-12;2021-11;2022-01;2022-02;2022-03;2022-04;2022-06;2022-05;2022-08;2022-07;2022-09;2022-10;2022-11;2022-12;2023-01;2023-02;2023-03;2023-04;2023-05
 Çelik;ADANA;4949.8372;4306.57752;4206.2552;6787.20488;4811.13185;4728.80142;3981.92171;5308.33418;6466.88105;5394.15189;5594.50298;6141.00735;5616.97939;5906.9063;5154.23032;9506.22826;7908.33689;8432.33432;5827.75017;5285.46344;6461.35555;5905.98357;2754.3014;4324.84797;6311.74101;3720.25569;6332.61482;4027.25142;5874.30328;5619.4455;4917.80367;4989.20963;5753.10864;4716.28686;4452.3192;6924.85967;5116.26984;7119.61347;6790.0832;6790.0832;6085.02396;5932.84351;6295.61001;6879.06405;11720.34177;10947.05708;6017.28641;6178.8941;6270.39682;6361.32545;6935.33624;5963.44064;5660.36935;4280.33836;5596.49956;6511.49878;6943.28138;4786.49295;7198.18738;5494.27713;8083.44057;9163.59459;6644.94579;7061.22883;6496.21179;6137.56084;7731.44237;4239.46816;5890.0174;5915.72762;7347.8661;5118.76761;9139.76037;6876.35723;6374.94604;6438.88072;7288.58119;7100.21016;8105.02863;7127.60786;8762.71346;10390.73546;7211.63148;10888.68862;10446.05891;10010.00981;12786.02917;10873.231;9962.95768;13560.88847;15300.03632;15977.43728;18578.40086;14094.7853;9718.31095;8961.7935;15636.45847;9483.185;9518.62275;12086.57523;8770.3539;7738.79143;9981.32835;10581.67658;12726.69741
 Çimento Cam Seramik ve Toprak Ürünleri;ADANA;4114.13456;1284.50229;1965.40394;4260.99711;2234.91046;2663.21964;2404.60508;2967.07749;2124.82969;1984.76678;1312.73249;2234.72444;1791.50844;3546.3764;2841.10246;2876.90477;1864.39768;2351.0723;2691.41559;2780.58306;3173.86738;3048.66397;1498.94123;2250.42611;3153.30475;2136.62439;2186.49656;1993.40942;1635.67959;2716.52183;2604.58874;2647.24917;3498.0301;3422.96416;1701.09749;3084.67826;2699.18366;3685.34799;5250.31607;5250.31607;3055.82836;2937.19065;3885.96887;4880.41941;5601.11369;4775.44528;4819.34995;3606.19238;3296.86803;1654.5688;2455.36349;4507.34196;5741.26923;3108.97188;5377.28474;5035.54034;4743.38618;1722.72125;4282.60653;2382.53714;3313.1678;4519.06511;6926.09067;3883.38434;4418.20892;3275.85956;4708.75851;2567.72375;893.51722;837.88975;764.59614;804.00843;861.04765;1318.60689;994.42893;1630.25138;1243.12454;1222.41451;842.79287;966.71457;409.0128;799.31588;767.86918;612.77066;814.97966;811.9626;590.63394;907.90855;716.85098;774.0528;974.92292;980.77334;1567.50541;881.61746;1152.29305;918.5055;907.95541;1051.92011;1203.88821;906.66713;730.79494;915.50854;1329.7697;1245.79294;1250.35905
 Demir ve Demir Dışı Metaller ;ADANA;1962.22581;1833.51264;2290.17847;1989.42186;2472.09087;2731.98575;2416.17786;1904.5069;2469.74597;2244.96638;2110.77537;1980.05127;2058.45934;2538.52271;1988.3751;2791.38059;2339.84063;1759.76543;2167.29493;2273.67178;2312.59418;2675.01822;1524.86478;2778.50427;2328.0625;2680.63589;3715.33443;3694.33548;1997.84166;2011.88032;3367.882;3221.42316;3306.30585;2612.43906;2499.37028;3930.30084;1994.2993;2813.1053;3471.43366;3471.43366;2160.4257;2761.93409;3284.10094;3218.45918;3566.8785;3022.67566;2766.2033;2168.14306;3427.17461;3175.82772;4069.31573;3829.25661;3472.71282;3620.76437;3662.13938;4503.52616;5975.9837;3864.10468;5531.77192;4079.75968;4638.08111;5744.46662;5644.55313;5323.57657;5481.94909;5541.38472;4583.82637;3849.88685;3916.98754;5597.34957;4881.49497;5184.67939;5034.76438;5662.92874;5540.83157;6449.34235;5620.34048;5361.1595;7093.2996;6547.4437;5472.41089;6859.09681;5462.32847;7631.50654;6847.88832;8923.82303;8805.56577;8037.03159;7597.98622;9617.73966;12867.18057;11234.11146;9846.49276;10024.73474;9510.81481;7599.89617;9252.91609;9774.28879;8565.1919;8530.76094;7312.55724;6304.33231;9785.83292;6851.78297;8351.49596
 Deri ve Deri Mamulleri ;ADANA;309.40794;381.47399;261.74886;188.53689;173.19728;226.83633;111.98325;185.03009;260.70585;283.77225;253.42389;283.9698;406.59454;407.58769;574.83206;450.69405;261.09909;400.81043;166.67364;266.86153;568.41637;330.96132;656.11557;418.99139;1161.58439;132.17586;186.1161;266.87565;530.10677;160.56724;301.17396;180.22904;797.04539;128.09678;462.82132;492.10401;392.25319;343.81564;425.05649;425.05649;1344.79574;1123.38896;989.63905;606.86114;1260.25086;871.61533;918.55704;764.34244;606.62002;397.92428;306.79483;1256.69401;441.6175;932.73121;778.35597;414.13337;1495.48991;945.88916;1276.27096;1198.49297;1287.86622;451.01797;309.88017;816.59328;1394.676;818.20469;680.00213;249.5392;697.85298;829.29164;1182.75905;821.03441;835.86928;398.13822;892.45252;1262.51665;918.72321;1464.82989;1075.66833;838.48733;942.87444;1405.78633;1183.8788;1142.19307;690.02278;513.03724;1397.6392;511.52909;883.68574;1522.14273;1343.09869;807.40734;953.33394;590.68892;1547.86485;1182.75785;1721.49035;1299.07526;861.99716;1181.57858;1233.93816;1099.00396;1913.04635;619.04486;630.06171
 Diğer Sanayi Ürünleri;ADANA;32.96804;15.33346;116.97136;22.99935;16.56683;8.10948;102.47381;17.74093;4.44522;1.43684;1.91135;3.9347;7.50047;71.67163;498.99734;251.24896;295.4577;278.7838;115.29631;177.30024;269.58551;82.27095;83.70641;10.59686;49.72351;16.1862;18.29063;26.82349;4.44489;65.6857;173.5624;227.23227;277.01309;123.04094;262.16282;6.15483;51.44094;13.7785;16.68028;16.68028;37.68764;27.86688;547.48882;398.27929;323.80947;24.69035;64.7112;9.58875;5.47097;10.57901;29.53721;5.29198;8.44816;163.69898;28.58429;109.02444;76.82514;93.5012;54.84953;20.43514;4.73289;61.50855;29.15322;49.58419;41.39003;93.0905;61.77906;105.72677;110.75906;53.52069;89.46539;27.5082;130.10176;170.29075;61.19325;157.86464;23.90636;7.29509;120.07217;94.09943;60.52517;125.37611;218.77927;66.08864;18.24991;74.87119;60.22583;202.12912;8.49726;11.07684;133.92913;172.65692;35.52915;157.34631;71.44368;58.59217;21.3414;96.6794;170.57097;60.60889;25.71561;78.36676;39.49365;122.43809;142.78382
 Elektrik ve Elektronik;ADANA;3664.86375;1452.68506;2935.98762;3351.93917;2033.15098;2767.25181;2114.70691;3835.0635;1738.68206;2994.99791;2156.04621;2038.95485;2084.70458;2509.63621;3175.3531;3464.9493;3606.04111;2550.83156;2329.69281;2776.3522;2677.33047;1820.21423;1539.78188;2497.43317;2798.93434;4142.35197;1513.04148;3072.9275;1885.94132;1455.49561;3016.23048;2041.99578;2348.1128;1855.5019;1537.06791;3196.71115;1935.84237;2784.27017;3217.63865;3217.63865;3045.34721;3114.45731;5081.84426;4424.51694;3468.81189;3020.82624;3722.80985;3293.61042;2686.66843;3278.08085;3184.81964;3198.11249;3519.81747;2621.12066;3716.82672;2238.88707;2261.74571;1360.08379;2970.24213;3083.37949;2745.93201;3033.72147;2768.83179;2984.27158;2886.84887;4384.07443;2398.58121;2252.89124;4320.09036;3784.72702;3230.85903;1479.12444;2188.09909;3174.8887;2373.99769;2116.68864;2530.35451;2796.83782;2700.33458;2517.55202;2256.79868;3866.44671;2348.33097;2319.17775;3014.23401;2627.85242;3024.6792;3326.72514;1276.89712;3786.65188;3095.38165;6227.94869;4068.23534;4421.95162;3653.74142;2672.56783;4056.58379;6397.69712;5041.00282;8910.04023;6361.9539;4341.75228;7737.90562;7062.11017;5971.5916
 Fındık ve Mamulleri ;ADANA;44.06383;142.41294;0.0;151.1416;162.81744;279.07842;164.81389;112.72622;138.04777;3.58617;96.25567;52.63888;168.49998;159.75952;69.08666;54.67211;67.49717;280.82995;103.95058;54.34984;122.58487;0.0;74.43884;131.4041;18.52057;162.02195;46.04068;199.64417;132.03752;171.90382;137.62647;60.01733;158.77867;83.72178;72.06831;89.93351;81.11504;140.57132;18.16101;18.16101;69.50276;66.80548;100.85737;124.25774;126.26205;79.82451;109.65209;39.29915;175.54071;68.52698;81.36037;116.45371;82.90897;89.68247;61.19684;41.21937;174.45144;30.875;84.98166;55.63026;217.52571;64.75972;107.57855;149.64517;80.41631;109.09383;47.87741;90.64687;49.3062;51.32292;44.41563;35.28821;92.68395;121.59472;125.35397;60.04469;111.74327;73.77308;61.48883;194.9216;99.97354;307.78021;78.87403;163.59313;461.14382;319.50841;162.6843;106.33576;89.96092;92.5216;173.03928;113.08119;82.95274;82.17427;150.54122;2.48676;118.22731;325.61626;136.34586;138.15639;149.96539;60.52272;129.55609;79.54693;130.97367
 Gemi, Yat ve Hizmetleri;ADANA;0.0;2.41358;4.0932;1.89808;0.0;0.0;5.71047;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.78069;0.19043;2.03892;4.0383;1.41362;1.96021;0.0;0.0;6.78827;0.0;5.3048;0.59949;0.0;0.0;0.0;22.54;0.01696;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.42074;0.42074;0.0;0.0;0.53567;0.0;0.06417;0.00956;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39.10572;0.00991;0.0;0.59588;10.23343;0.0;0.0;0.2115;0.12002;0.01003;0.0;0.33119;0.0;8.4277;12.79597;0.0;0.0;0.78659;0.0;0.6764;3.39699;0.0;0.0;0.10209;0.0;1.27888;0.0;0.0;0.0;0.45822;11.06243;8988.58484;0.0;0.0;12.28419;18.84385;1.96995;0.0;0.43594;10.17294;0.0;0.8052;0.0;0.0;0.0;0.0;0.0;0.0;0.0
 Halı ;ADANA;454.46343;409.92968;525.48366;396.86;313.24323;148.07533;230.11286;511.05773;400.93829;262.88903;236.63216;179.17371;78.72893;439.29213;154.49022;277.36747;45.07736;266.65343;41.43678;493.67534;85.77214;218.47989;42.11344;201.91053;42.29948;97.4268;144.33603;224.81694;79.25981;350.37805;234.06801;168.79576;91.53215;333.93866;67.77435;117.74512;125.89847;401.3775;370.89971;370.89971;379.64197;257.17906;688.52582;387.83216;431.85682;279.32777;346.1557;213.68235;386.03556;412.59055;98.76355;136.56394;135.45455;22.53524;454.74036;269.83312;473.69787;348.59893;346.05933;105.79498;377.96696;499.8261;627.78134;152.15002;196.01675;133.75503;129.47101;93.80278;91.5657;246.14715;210.3746;73.33478;424.11758;254.5952;189.08084;128.89991;27.89045;137.95077;174.58089;190.26004;159.89986;194.97395;155.66262;117.62166;188.31371;166.64145;313.92509;291.37414;257.19857;308.42047;66.18683;164.51779;259.18724;89.47455;163.87778;153.18994;231.27409;154.11901;107.06086;179.58639;78.57896;19.17585;312.03114;194.60817;172.64011
 Hazırgiyim ve Konfeksiyon ;ADANA;8156.63485;7188.83752;7858.32601;7065.90402;7249.79696;7504.7605;8487.07512;7587.08241;9055.1383;6071.84576;9928.7224;5540.64649;10756.7305;4854.7438;7912.62538;4592.08862;6840.23803;6258.97807;9271.17615;7260.33691;8097.26235;7826.01802;6911.20559;8195.10551;8477.53516;8676.35151;7965.26235;10246.8992;7945.54922;6795.24881;7734.74154;10477.07376;10625.36507;10681.57492;11515.24487;11613.78354;11038.62587;9824.99381;10606.3526;10606.3526;8816.10864;10162.87446;14140.55211;11584.6077;13625.63486;11853.11276;13887.41018;11188.59633;16058.06704;16097.73225;11707.78586;12701.5383;8770.39726;11226.72933;13365.86601;13267.70869;16415.73493;11273.42963;14972.60336;13238.13229;11967.50013;11755.6097;10449.42949;10811.27996;10975.31266;11812.4349;9711.30992;6683.93599;20628.71661;41536.97273;40737.18142;23860.07292;19697.45597;13584.66155;9379.98057;9852.21112;10344.30429;9157.59194;12866.62103;13530.86454;8103.88319;11598.72658;12803.96359;13894.5569;15191.30431;15066.5728;9934.41622;9662.62282;6741.7959;8465.30666;13785.05259;13720.71795;14262.66466;12284.84943;14815.66995;11529.85358;14850.2815;13127.32415;8756.38477;9019.17911;9947.65142;7635.41353;14001.80517;12935.61722;11804.82837
